,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,MAD
0,Adil El Arbi,Will Smith,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Martin Lawrence,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Vanessa Hudgens,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Alexander Ludwig,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Charles Melton,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Paola Nuñez,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Kate del Castillo,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Nicky Jam,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Joe Pantoliano,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,Jacob Scipio,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']","['Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith']",2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
1,Jeff Fowler,Ben Schwartz,"['Patrick Casey', 'Josh Miller']","['Toby Ascher', 'Takeshi Ito', 'Neal H. Moritz', 'Toru Nakahara']",2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
1,Jeff Fowler,James Marsden,"['Patrick Casey', 'Josh Miller']","['Toby Ascher', 'Takeshi Ito', 'Neal H. Moritz', 'Toru Nakahara']",2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
