,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,MAD
0,Adil El Arbi,"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Paola Nuñez', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano', 'Jacob Scipio']","['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']",Doug Belgrad,2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Paola Nuñez', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano', 'Jacob Scipio']","['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']",Jerry Bruckheimer,2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
0,Adil El Arbi,"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Paola Nuñez', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano', 'Jacob Scipio']","['Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']",Will Smith,2020,Action," R
",124.0,90000000.0,204417855.0,421226030.0,Bad Boys for Life,331226030.0,2671177.6612903224,3.680289222222222,2,1.1112343497773716
1,Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","['Patrick Casey', 'Josh Miller']",Toby Ascher,2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
1,Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","['Patrick Casey', 'Josh Miller']",Takeshi Ito,2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
1,Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","['Patrick Casey', 'Josh Miller']",Neal H. Moritz,2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
1,Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","['Patrick Casey', 'Josh Miller']",Toru Nakahara,2020,Action," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176473,2,0.6789659619400316
2,Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent', 'Jessie Buckley', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani']","['Stephen Gaghan', 'Dan Gregor', 'Doug Mand', 'Chris McKay']",Susan Downey,2020,Adventure," PG
",101.0,175000000.0,77047065.0,227908130.0,Dolittle,52908130.0,523842.8712871287,0.30233217142857144,2,-0.25180337222649257
2,Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent', 'Jessie Buckley', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani']","['Stephen Gaghan', 'Dan Gregor', 'Doug Mand', 'Chris McKay']",Jeff Kirschenbaum,2020,Adventure," PG
",101.0,175000000.0,77047065.0,227908130.0,Dolittle,52908130.0,523842.8712871287,0.30233217142857144,2,-0.25180337222649257
2,Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent', 'Jessie Buckley', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani']","['Stephen Gaghan', 'Dan Gregor', 'Doug Mand', 'Chris McKay']",Joe Roth,2020,Adventure," PG
",101.0,175000000.0,77047065.0,227908130.0,Dolittle,52908130.0,523842.8712871287,0.30233217142857144,2,-0.25180337222649257
