,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
0,199,['John Crowley'],"['Oakes Fegley', 'Ansel Elgort', 'Nicole Kidman', 'Jeffrey Wright', 'Luke Wilson', 'Sarah Paulson', 'Willa Fitzgerald', 'Aneurin Barnard', 'Finn Wolfhard', 'Ashleigh Cummings']","['Peter Straughan', 'Donna Tartt']","['Nina Jacobson', 'Brad Simpson']",2019,Drama," R
",149.0,45000000.0,5332621.0,9932621.0,The Goldfinch,-35067379.0,-235351.5369127517,-0.7792750888888889,1,Drama,-0.7346986716565024
1,259,['Xavier Dolan'],"['Kit Harington', 'Natalie Portman', 'Jacob Tremblay', 'Susan Sarandon', 'Kathy Bates', 'Ben Schnetzer', 'Thandie Newton', 'Jared Keeso', 'Chris Zylka', 'Amara Karan']","['Xavier Dolan', 'Jacob Tierney']","['Xavier Dolan', 'Nancy Grant', 'Joe Iacono', 'Lyse Lafontaine', 'Michel Merkt']",2019,Drama," R
",123.0,35000000.0,152713.0,3326364.0,The Death and Life of John F. Donovan,-31673636.0,-257509.2357723577,-0.9049610285714286,1,Drama,-0.7904943772737181
2,301,['Ben Hernandez Bray'],"['Logan Arevalo', 'Julian Bray', 'Adolfo Alvarez', 'Marco Rodríguez', 'Emilio Rivera', 'Yadi Valerio Rivera', 'George Lopez', 'Raúl Castillo', 'Jose Pablo Cantillo', 'Noel Gugliemi']","['Ben Hernandez Bray', 'Joe Carnahan']",['Joe Carnahan'],2019,Drama," R
",108.0,8000000.0,1400603.0,1404646.0,El Chicano,-6595354.0,-61068.09259259259,-0.82441925,1,Drama,-0.7547394998513973
3,402,['Frank Darabont'],"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore', 'Jeffrey DeMunn', 'Larry Brandenburg']","['Stephen King', 'Frank Darabont']",['Niki Marvin'],2019,Drama," R
",142.0,25000000.0,28699976.0,28786657.0,The Shawshank Redemption 2019 Re-release,3786657.0,26666.598591549297,0.15146628,1,Drama,-0.3215150525861584
4,455,['Eddie Mensore'],"['Terry Serpico', 'Mark Ashworth', 'Kevin Sizemore', 'Clint James', 'Drew Starkey', 'Erin Elizabeth Burns', 'Alpha Trivette', 'Francine Locke', 'Elizabeth Houston', 'Annie Thrash']",['Eddie Mensore'],"['Autumn Bailey', 'Eddie Mensore']",2019,Drama," Not Rated
",83.0,350000.0,226421.0,226421.0,Mine 9,-123579.0,-1488.903614457831,-0.35308285714285714,1,Drama,-0.545499335924049
6,936,['Peter Hedges'],"['Julia Roberts', 'Lucas Hedges', 'Courtney B. Vance', 'Kathryn Newton', 'Rachel Bay Jones', 'David Zaldivar', 'Alexandra Park', 'Michael Esper', 'Tim Guinee', 'Myra Lucretia Taylor']",['Peter Hedges'],"['Peter Hedges', 'Nina Jacobson', 'Teddy Schwarzman', 'Brad Simpson']",2018,Drama," R
",103.0,13000000.0,3703184.0,10134204.0,Ben Is Back,-2865796.0,-27823.26213592233,-0.22044584615384616,1,Drama,-0.48661784418533277
7,1266,['Nicholas Ray'],"['James Dean', 'Natalie Wood', 'Sal Mineo', 'Jim Backus', 'Ann Doran', 'Corey Allen', 'William Hopper', 'Rochelle Hudson', 'Dennis Hopper', 'Edward Platt']","['Stewart Stern', 'Irving Shulman', 'Nicholas Ray']",['David Weisbart'],2018,Drama," PG-13
",111.0,1500000.0,199963.0,199963.0,Rebel Without a Cause 2018 Re-release,-1300037.0,-11712.045045045044,-0.8666913333333334,1,Drama,-0.7735053277829105
8,1729,['Marc Webb'],"['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan', 'Octavia Spencer', 'Jenny Slate', 'Michael Kendall Kaplan', 'John M. Jackson', 'Glenn Plummer', 'John Finn', 'Elizabeth Marvel']",['Tom Flynn'],"['Andy Cohen', 'Karen Lunder']",2017,Drama," PG-13
",101.0,7000000.0,24801212.0,43069254.0,Gifted,36069254.0,357121.3267326733,5.152750571428571,1,Drama,1.8987029506159843
9,1733,['Danny Boyle'],"['Ewan McGregor', 'Logan Gillies', 'Ben Skelton', 'Aiden Haggarty', 'Daniel Smith', 'Elijah Wolf', 'Robert Carlyle', 'Steven Robertson', 'Ewen Bremner', 'John Kazek']","['John Hodge', 'Irvine Welsh']","['Bernard Bellew', 'Danny Boyle', 'Christian Colson', 'Andrew Macdonald']",2017,Drama," R
",117.0,18000000.0,2402004.0,41681746.0,T2 Trainspotting,23681746.0,202408.08547008547,1.3156525555555556,1,Drama,0.19530166437175434
10,1787,['Woody Allen'],"['Justin Timberlake', 'Juno Temple', 'Robert C. Kirk', 'Kate Winslet', 'Jim Belushi', 'Jack Gore', 'Tommy Nohilly', 'Tony Sirico', 'Steve Schirripa', 'John Doumanian']",['Woody Allen'],"['Erika Aronson', 'Letty Aronson', 'Edward Walson']",2017,Drama," PG-13
",101.0,25000000.0,1404061.0,15889124.0,Wonder Wheel,-9110876.0,-90206.69306930693,-0.36443504,1,Drama,-0.5505389056198304
11,1802,['Isabel Coixet'],"['Emily Mortimer', 'Bill Nighy', 'Hunter Tremayne', 'Honor Kneafsey', 'Michael Fitzgerald', 'Frances Barber', 'Reg Wilson', 'James Lance', 'Patricia Clarkson', 'Lucy Beckwith']","['Isabel Coixet', 'Penelope Fitzgerald']","['Jaume Banacolocha', 'Joan Bas', 'Adolfo Blanco', 'Chris Curling']",2017,Drama," PG
",113.0,5400000.0,1588150.0,12055868.0,The Bookshop,6655868.0,58901.48672566372,1.2325681481481479,1,Drama,0.1584180388143243
12,1807,['Sean Baker'],"['Brooklynn Prince', 'Christopher Rivera', 'Aiden Malik', 'Josie Olivo', 'Valeria Cotto', 'Edward Pagan', 'Bria Vinaite', 'Patti Wiley', 'Jasineia Ramos', 'Willem Dafoe']","['Sean Baker', 'Chris Bergoch']","['Sean Baker', 'Chris Bergoch', 'Kevin Chinoy', 'Andrew Duncan']",2017,Drama," R
",111.0,2000000.0,5904366.0,10971298.0,The Florida Project,8971298.0,80822.50450450451,4.4856489999999996,1,Drama,1.602556834429678
13,1839,['Kevin Sorbo'],"['Kevin Sorbo', 'Sam Sorbo', 'Daniel Roebuck', 'Donielle Artese', 'Gary Grubbs', 'Travis Tritt', 'Joe Herrera', 'Leander Suleiman', 'Walnette Marie Santiago', 'Olivia Fox']","['Sam Sorbo', 'Dan Gordon']","['Dan Gordon', 'Warren Ostergard', 'James Quattrochi', 'Sam Sorbo']",2017,Drama," PG-13
",100.0,3000000.0,7233471.0,7241302.0,Let There Be Light,4241302.0,42413.02,1.4137673333333334,1,Drama,0.2388577158395218
14,1849,['Steve Gomer'],"['John Corbett', 'Cara Buono', 'Myles Moore', 'Barry Corbin', 'Nelson Lee', 'Angela Fox', 'Gregory Alan Williams', 'John Wise Win', 'Jenne Kang', 'David Keith']",['Steve Armour'],"['Marc Bienstock', 'Martha W. Chang', 'Steve Gomer']",2017,Drama," PG
",108.0,2000000.0,5802208.0,5942565.0,All Saints,3942565.0,36505.23148148148,1.9712825,1,Drama,0.486355186081912
15,1913,['Michael Haneke'],"['Isabelle Huppert', 'Jean-Louis Trintignant', 'Mathieu Kassovitz', 'Fantine Harduin', 'Franz Rogowski', 'Laura Verlinden', 'Aurélia Petit', 'Toby Jones', 'Hille Perl', 'Hassam Ghancy']",['Michael Haneke'],['Margaret Ménégoz'],2017,Drama," R
",107.0,13600000.0,301718.0,2610794.0,Happy End,-10989206.0,-102702.85981308413,-0.8080298529411765,1,Drama,-0.7474637618026742
